Video ID,Title,Comment,Comment_Likes
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,11:15 mattshea?!!??!,0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,I like this,0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,Cool,0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,Please do a tutorial on how to use and install hypergan!,0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,ugly,0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,The output is disturbing.,0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,"14:28 I have triangulated that the timelapse is recorded from International IT College, Stockholm, Sweden.",0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,I love how you included grade A under A's Avatar in your training data.,0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,This video is pretty... *convoluted*,0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,The long lost yoylecity,0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,Bagel brain and loominarty,0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,1:55 not all doughnuts are marked yo missed the round part of the 9,0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,You should have separated the genders for your ai,0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,11:12 Yeah. Pretty sure that picture really affected it.,0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,Why did you steal a PC From the Nasa?,0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,What is your ao12 ?😅,0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,11:11 who noticed Grade A Under A?,0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,Wait are you tennis ball’s voice actor?,0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,Plz make a video on how to fold that 14:18,0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,Pencil!,0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,Ghast! *AAAAAAA!*,0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,"Pixel #2 is not a donut




Pixel #50 is the most “donutty”",0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,"Out-of-bounds pixels are considered black




No matter *WHAT!*",0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,So basically you made an ah that makes everyone look the same,0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,I actually had a donut today lol,0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,Is it hyperGAN air um?,0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,"Um, Don't you mean colour?",0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,4:00 last one on the 5th row,0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,12:54 *OH GOD WHAT IS THAT THING!*,0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,ckh=jacknjellify's coding channel,0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,IDK that picture looks pretty fake,0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,7:18 HAHAHAHA!!!! IT SAYS NIPPLES!!!!,0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,I don't think it's possible to code a neural network in Scratch... Coding in Scratch is way easier than coding a website. (Without Wix or GoDaddy),0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,You should do a Cartoon series...!!!! :),0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,nintendo wii,0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,THAT MEANS CAPCHA IS SHIT xD,0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,0:14 THATS THE YOYLE CITY FROM BFDIA 5E AND IDFB 1!,0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,"There’s a mistake, at 2:39 it shows that the Earth is not a donut, but this is clearly incorrect.",2
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,Lot's of BFDI references. makes sense.,0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,LOL I saw your secret doodle carykh!😆,0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,Is he basically Jacknjellify?,0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,Rooobbiiieeee,0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,Can i have your megaminx hahahhahaha,0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,1:11 BFDIA-LUMINATI CONFIRMED,0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,"Am I crazy, or is that David Tennant in the top right at 10:36 ?",0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,Who else notice grade a under a,0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,6:40 THATS PENCIL FROM BFB,0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,0:25 *YOYLE CITY*,0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,"When you showed the Mii’s at 0:32, the one in the middle with dark blue hat and top looked scarily similar to the Mii I use.",0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,oof cary called his friends ugly OO BURN,0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,*BFB Golf Ball wants to know your location*,1
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,13:03 THAT LAST ONE AAAAAAAAA,0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,"I did the math ,it was ,hard one year",0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,"Pics dont talk . "" Friends "" far too much chitty chat",0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,"Begginning of the video: ""Teaching my computer to give me donuts""",0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,Can i do a fliter that finds other filters (im bad at english),0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,Nah,0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,"At 8:09, there is a spongy on the shelves",0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,"8#”@ is my nickname.
And the one I’m giving you is +@46.
Just wanted to say",0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,Poor Mike.,0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,Troll face!!! 5:21,0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,Why do some images filtered different point to the same image?,0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,"I really like you video, and additionally you give me more inspiration about what can I do to learn ai..please keep update, so that people like me who is new in this area can obtain more information and joy, thanks...",0
p_7GWRup-nQ,Teaching convolutional neural networks to give me friends,8:59 that corrupted image of a strawberry.,0
